DATE,PX LAST
2000-01-03,66.8125
2000-01-04,64.3125
2000-01-05,63.0
2000-01-06,63.6875
2000-01-07,68.5
2000-01-10,67.25
2000-01-11,66.25
2000-01-12,65.0625
2000-01-13,65.125
2000-01-14,64.5
2000-01-18,65.5625
2000-01-19,64.0625
2000-01-20,63.375
2000-01-21,62.4375
2000-01-24,59.375
2000-01-25,61.125
2000-01-26,61.9375
2000-01-27,59.125
2000-01-28,55.125
2000-01-31,54.75
2000-02-01,58.6875
2000-02-02,58.375
2000-02-03,58.375
2000-02-04,56.3125
2000-02-07,55.75
2000-02-08,59.5
2000-02-09,57.8125
2000-02-10,57.0
2000-02-11,56.0625
2000-02-14,58.875
2000-02-15,58.0
2000-02-16,52.75
2000-02-17,48.375
2000-02-18,47.75
2000-02-22,48.125
2000-02-23,47.0
2000-02-24,47.875
2000-02-25,44.5
2000-02-28,46.1875
2000-02-29,48.75
2000-03-01,49.0
2000-03-02,50.5625
2000-03-03,52.625
2000-03-06,50.5
2000-03-07,47.5625
2000-03-08,48.3125
2000-03-09,48.9375
2000-03-10,47.9375
2000-03-13,47.6875
2000-03-14,47.75
2000-03-15,51.5
2000-03-16,54.625
2000-03-17,55.75
2000-03-20,55.125
2000-03-21,56.625
2000-03-22,55.375
2000-03-23,54.0
2000-03-24,55.5
2000-03-27,55.4375
2000-03-28,54.5
2000-03-29,58.75
2000-03-30,59.0
2000-03-31,56.5
2000-04-03,61.1875
2000-04-04,60.0
2000-04-05,58.25
2000-04-06,61.125
2000-04-07,61.5
2000-04-10,63.5625
2000-04-11,63.375
2000-04-12,62.4375
2000-04-13,60.0625
2000-04-14,55.0
2000-04-17,54.0
2000-04-18,53.875
2000-04-19,54.9375
2000-04-20,57.6875
2000-04-24,58.875
2000-04-25,59.6875
2000-04-26,58.75
2000-04-27,57.6875
2000-04-28,55.375
2000-05-01,57.9375
2000-05-02,57.625
2000-05-03,53.4375
2000-05-04,51.0
2000-05-05,51.3125
2000-05-08,52.375
2000-05-09,53.0
2000-05-10,56.6875
2000-05-11,56.0
2000-05-12,56.8125
2000-05-15,57.0
2000-05-16,58.0
2000-05-17,56.375
2000-05-18,57.9375
2000-05-19,57.0625
2000-05-22,57.375
2000-05-23,57.1875
2000-05-24,56.875
2000-05-25,55.0
2000-05-26,54.0
2000-05-30,53.375
2000-05-31,57.625
2000-06-01,57.0
2000-06-02,59.0625
2000-06-05,59.3125
2000-06-06,58.25
2000-06-07,57.875
2000-06-08,56.875
2000-06-09,54.0
2000-06-12,52.75
2000-06-13,55.0
2000-06-14,55.125
2000-06-15,55.5
2000-06-16,53.875
2000-06-19,54.375
2000-06-20,54.5
2000-06-21,53.9375
2000-06-22,52.5
2000-06-23,53.75
2000-06-26,53.75
2000-06-27,56.8125
2000-06-28,55.9844
2000-06-29,54.125
2000-06-30,57.625
2000-07-03,56.875
2000-07-05,57.0
2000-07-06,57.5
2000-07-07,61.5625
2000-07-10,61.25
2000-07-11,62.0
2000-07-12,61.0
2000-07-13,59.125
2000-07-14,59.5
2000-07-17,60.7188
2000-07-18,60.0625
2000-07-19,60.0
2000-07-20,60.0
2000-07-21,59.6875
2000-07-24,57.4375
2000-07-25,59.1875
2000-07-26,58.75
2000-07-27,60.0625
2000-07-28,58.6875
2000-07-31,55.25
2000-08-01,54.5
2000-08-02,54.0625
2000-08-03,53.875
2000-08-04,52.9375
2000-08-07,55.125
2000-08-08,57.625
2000-08-09,53.625
2000-08-10,51.0
2000-08-11,52.125
2000-08-14,52.875
2000-08-15,51.5625
2000-08-16,49.9375
2000-08-17,50.0
2000-08-18,50.875
2000-08-21,49.0
2000-08-22,49.125
2000-08-23,49.125
2000-08-24,49.4375
2000-08-25,50.5
2000-08-28,49.5
2000-08-29,49.4375
2000-08-30,48.4375
2000-08-31,47.625
2000-09-01,48.75
2000-09-05,49.75
2000-09-06,50.0
2000-09-07,51.0
2000-09-08,52.125
2000-09-11,54.375
2000-09-12,54.0
2000-09-13,53.875
2000-09-14,52.5
2000-09-15,52.0
2000-09-18,52.75
2000-09-19,49.875
2000-09-20,48.5
2000-09-21,50.0
2000-09-22,50.5
2000-09-25,49.0
2000-09-26,47.375
2000-09-27,48.125
2000-09-28,48.5625
2000-09-29,48.125
2000-10-02,46.25
2000-10-03,45.8125
2000-10-04,46.125
2000-10-05,46.0625
2000-10-06,45.5
2000-10-09,45.125
2000-10-10,46.375
2000-10-11,45.3125
2000-10-12,44.125
2000-10-13,45.0
2000-10-16,47.3125
2000-10-17,46.0
2000-10-18,46.75
2000-10-19,47.8125
2000-10-20,46.5625
2000-10-23,47.3125
2000-10-24,48.375
2000-10-25,45.9375
2000-10-26,43.4375
2000-10-27,43.25
2000-10-30,43.75
2000-10-31,45.375
2000-11-01,46.6875
2000-11-02,48.4375
2000-11-03,47.375
2000-11-06,49.0
2000-11-07,48.9375
2000-11-08,48.75
2000-11-09,47.125
2000-11-10,43.6875
2000-11-13,45.3125
2000-11-14,46.875
2000-11-15,49.0
2000-11-16,48.25
2000-11-17,48.5625
2000-11-20,47.875
2000-11-21,47.125
2000-11-22,45.875
2000-11-24,45.1875
2000-11-27,49.3125
2000-11-28,49.0
2000-11-29,51.875
2000-11-30,52.1875
2000-12-01,51.1875
2000-12-04,53.8125
2000-12-05,55.25
2000-12-06,54.8125
2000-12-07,55.0
2000-12-08,54.4375
2000-12-11,51.375
2000-12-12,51.875
2000-12-13,50.3125
2000-12-14,51.0625
2000-12-15,49.875
2000-12-18,50.5625
