DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
14/5/1997,,,,1.5,
15/5/1997,2.438,2.5,1.927,1.958,72156000
16/5/1997,1.969,1.979,1.708,1.729,14700000
19/5/1997,1.76,1.771,1.625,1.708,6106800
20/5/1997,1.729,1.75,1.635,1.635,5467200
21/5/1997,1.635,1.646,1.375,1.427,18853200
22/5/1997,1.438,1.448,1.313,1.396,11673600
23/5/1997,1.406,1.521,1.333,1.5,15937200
27/5/1997,1.51,1.646,1.458,1.583,8697600
28/5/1997,1.625,1.635,1.531,1.531,4574400
29/5/1997,1.542,1.542,1.479,1.505,3472800
30/5/1997,1.5,1.51,1.479,1.5,2594400
2/6/1997,1.51,1.531,1.5,1.51,591600
3/6/1997,1.531,1.531,1.479,1.479,1183200
4/6/1997,1.479,1.49,1.396,1.417,3080400
5/6/1997,1.417,1.542,1.375,1.542,5672400
6/6/1997,1.516,1.708,1.51,1.656,7807200
9/6/1997,1.656,1.708,1.656,1.688,2352000
10/6/1997,1.708,1.708,1.531,1.583,5458800
11/6/1997,1.594,1.604,1.531,1.542,1188000
12/6/1997,1.583,1.646,1.552,1.604,1632000
13/6/1997,1.625,1.625,1.583,1.583,693600
16/6/1997,1.604,1.604,1.563,1.573,913200
17/6/1997,1.599,1.599,1.495,1.505,4706400
18/6/1997,1.521,1.536,1.5,1.51,2464800
19/6/1997,1.51,1.531,1.5,1.51,1003200
20/6/1997,1.531,1.552,1.5,1.526,3387600
23/6/1997,1.542,1.542,1.479,1.5,1047600
24/6/1997,1.505,1.526,1.479,1.51,751200
25/6/1997,1.526,1.526,1.49,1.51,2106000
26/6/1997,1.521,1.521,1.505,1.51,3189600
27/6/1997,1.516,1.516,1.479,1.49,1188000
30/6/1997,1.51,1.599,1.479,1.542,2746800
1/7/1997,1.542,1.542,1.51,1.516,1292400
2/7/1997,1.516,1.594,1.51,1.589,3882000
3/7/1997,1.599,1.917,1.594,1.911,12577200
7/7/1997,1.833,2.021,1.833,2,8053200
8/7/1997,2.042,2.333,2.042,2.302,15517200
9/7/1997,2.302,2.385,2.271,2.323,8262000
10/7/1997,2.333,2.573,2.333,2.563,9051600
11/7/1997,2.521,2.521,2.208,2.292,10531200
14/7/1997,2.323,2.333,2.115,2.135,4604400
15/7/1997,2.135,2.479,2.135,2.438,9264000
16/7/1997,2.448,2.495,2.302,2.333,3024000
17/7/1997,2.344,2.344,2.156,2.219,3169200
18/7/1997,2.188,2.219,2.156,2.156,780000
21/7/1997,2.177,2.198,2.146,2.182,574800
22/7/1997,2.167,2.188,2.063,2.135,1563600
23/7/1997,2.188,2.333,2.177,2.292,3259200
24/7/1997,2.302,2.313,2.219,2.26,1216800
25/7/1997,2.219,2.25,2.219,2.229,620400
28/7/1997,2.229,2.396,2.219,2.323,2574000
29/7/1997,2.365,2.5,2.333,2.479,4814400
30/7/1997,2.5,2.505,2.427,2.448,2517600
31/7/1997,2.438,2.438,2.333,2.396,1454400
1/8/1997,2.344,2.417,2.25,2.417,3588000
4/8/1997,2.375,2.411,2.302,2.313,2671200
5/8/1997,2.333,2.333,2.146,2.208,3032400
6/8/1997,2.208,2.313,2.188,2.25,1243200
7/8/1997,2.25,2.26,2.125,2.177,2032800
8/8/1997,2.167,2.302,2.104,2.292,2211600
11/8/1997,2.292,2.333,2.25,2.328,1239600
12/8/1997,2.281,2.302,2.198,2.198,571200
13/8/1997,2.229,2.229,2.167,2.198,590400
14/8/1997,2.177,2.25,2.12,2.156,1041600
15/8/1997,2.135,2.156,1.938,2.115,1597200
18/8/1997,2.052,2.052,1.969,2.042,1784400
19/8/1997,2.094,2.208,2.052,2.167,1003200
20/8/1997,2.188,2.188,2.073,2.167,994800
21/8/1997,2.135,2.172,2.073,2.115,624000
22/8/1997,2.104,2.125,2.094,2.125,712800
25/8/1997,2.104,2.26,2.104,2.219,1126800
26/8/1997,2.24,2.354,2.229,2.344,2610000
27/8/1997,2.307,2.323,2.25,2.318,1392000
28/8/1997,2.302,2.396,2.281,2.375,1147200
29/8/1997,2.365,2.375,2.323,2.339,722400
2/9/1997,2.344,2.375,2.333,2.354,732000
3/9/1997,2.344,2.417,2.313,2.333,1964400
4/9/1997,2.365,2.552,2.344,2.552,3348000
