DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
1990-01-02,0.315,0.335,0.313,0.333,183198400.0
1990-01-03,0.339,0.339,0.335,0.335,207995200.0
1990-01-04,0.342,0.346,0.333,0.336,221513600.0
1990-01-05,0.337,0.342,0.33,0.337,123312000.0
1990-01-08,0.335,0.339,0.33,0.339,101572800.0
1990-01-09,0.339,0.339,0.33,0.336,86139200.0
1990-01-10,0.336,0.336,0.319,0.321,199718400.0
1990-01-11,0.324,0.324,0.308,0.308,211052800.0
1990-01-12,0.306,0.31,0.301,0.308,171897600.0
1990-01-15,0.308,0.319,0.306,0.306,161739200.0
1990-01-16,0.299,0.313,0.292,0.311,214244800.0
1990-01-17,0.31,0.31,0.295,0.297,197299200.0
1990-01-18,0.295,0.299,0.288,0.289,273291200.0
1990-01-19,0.301,0.308,0.299,0.306,265137600.0
1990-01-22,0.304,0.308,0.297,0.297,145611200.0
1990-01-23,0.301,0.306,0.295,0.301,140873600.0
1990-01-24,0.29,0.306,0.285,0.304,169792000.0
1990-01-25,0.306,0.31,0.304,0.305,111540800.0
1990-01-26,0.304,0.304,0.288,0.292,181249600.0
1990-01-29,0.295,0.299,0.287,0.297,119929600.0
1990-01-30,0.297,0.308,0.295,0.304,116446400.0
1990-01-31,0.308,0.31,0.295,0.304,143942400.0
1990-02-01,0.308,0.309,0.299,0.3,117073600.0
1990-02-02,0.297,0.31,0.297,0.306,118473600.0
1990-02-05,0.306,0.315,0.304,0.313,101752000.0
1990-02-06,0.31,0.313,0.304,0.31,74088000.0
1990-02-07,0.295,0.306,0.289,0.297,312446400.0
1990-02-08,0.297,0.299,0.288,0.295,186636800.0
1990-02-09,0.299,0.308,0.297,0.306,168078400.0
1990-02-12,0.306,0.308,0.301,0.304,74916800.0
1990-02-13,0.304,0.313,0.301,0.308,102166400.0
1990-02-14,0.308,0.31,0.301,0.306,96062400.0
1990-02-15,0.301,0.306,0.299,0.306,97966400.0
1990-02-16,0.306,0.308,0.301,0.301,127209600.0
1990-02-20,0.299,0.3,0.295,0.299,123244800.0
1990-02-21,0.292,0.313,0.29,0.304,175907200.0
1990-02-22,0.304,0.309,0.295,0.295,195182400.0
1990-02-23,0.292,0.299,0.292,0.297,149956800.0
1990-02-26,0.295,0.306,0.295,0.304,79609600.0
1990-02-27,0.306,0.306,0.299,0.299,73953600.0
1990-02-28,0.299,0.308,0.297,0.304,109334400.0
1990-03-01,0.299,0.31,0.297,0.306,203896000.0
1990-03-02,0.299,0.308,0.297,0.301,104899200.0
1990-03-05,0.299,0.31,0.299,0.308,182470400.0
1990-03-06,0.313,0.315,0.308,0.315,156016000.0
1990-03-07,0.313,0.321,0.313,0.316,204220800.0
1990-03-08,0.319,0.33,0.313,0.328,223843200.0
1990-03-09,0.328,0.335,0.324,0.329,230473600.0
1990-03-12,0.333,0.335,0.324,0.327,163956800.0
1990-03-13,0.326,0.333,0.324,0.329,148579200.0
1990-03-14,0.328,0.333,0.326,0.328,95121600.0
1990-03-15,0.328,0.33,0.326,0.328,120232000.0
1990-03-16,0.357,0.368,0.349,0.359,645388800.0
1990-03-19,0.359,0.379,0.357,0.378,431793600.0
1990-03-20,0.379,0.384,0.364,0.369,391316800.0
1990-03-21,0.368,0.377,0.368,0.372,152734400.0
1990-03-22,0.373,0.377,0.364,0.364,231660800.0
1990-03-23,0.368,0.384,0.366,0.377,227987200.0
1990-03-26,0.379,0.387,0.375,0.377,128060800.0
1990-03-27,0.375,0.377,0.368,0.375,84604800.0
1990-03-28,0.375,0.376,0.366,0.368,102939200.0
1990-03-29,0.366,0.371,0.364,0.367,96891200.0
1990-03-30,0.357,0.366,0.355,0.359,223350400.0
1990-04-02,0.357,0.363,0.353,0.359,148769600.0
1990-04-03,0.362,0.373,0.362,0.373,139708800.0
1990-04-04,0.371,0.375,0.364,0.368,149732800.0
1990-04-05,0.366,0.368,0.357,0.359,108192000.0
1990-04-06,0.359,0.362,0.355,0.356,118238400.0
1990-04-09,0.355,0.371,0.353,0.367,105481600.0
1990-04-10,0.368,0.382,0.366,0.368,131320000.0
1990-04-11,0.371,0.384,0.371,0.379,213158400.0
1990-04-12,0.384,0.393,0.384,0.386,211803200.0
1990-04-16,0.386,0.395,0.386,0.391,226889600.0
1990-04-17,0.388,0.391,0.382,0.386,131107200.0
1990-04-18,0.386,0.397,0.379,0.386,194006400.0
1990-04-19,0.373,0.385,0.357,0.359,481476800.0
1990-04-20,0.365,0.371,0.355,0.359,323523200.0
1990-04-23,0.359,0.362,0.353,0.355,128352000.0
1990-04-24,0.36,0.362,0.344,0.346,303564800.0
1990-04-25,0.346,0.348,0.337,0.346,132574400.0
1990-04-26,0.348,0.353,0.34,0.347,142161600.0
1990-04-27,0.348,0.353,0.346,0.349,116412800.0
1990-04-30,0.348,0.355,0.348,0.352,136393600.0
1990-05-01,0.355,0.357,0.352,0.354,163609600.0
1990-05-02,0.353,0.357,0.35,0.355,135430400.0
1990-05-03,0.355,0.359,0.355,0.357,166308800.0
1990-05-04,0.357,0.364,0.35,0.357,169534400.0
1990-05-07,0.355,0.373,0.355,0.371,135990400.0
1990-05-08,0.366,0.375,0.366,0.373,112459200.0
1990-05-09,0.372,0.375,0.368,0.374,97238400.0
1990-05-10,0.373,0.373,0.362,0.369,179043200.0
1990-05-11,0.369,0.382,0.364,0.381,215241600.0
1990-05-14,0.379,0.382,0.368,0.373,226385600.0
1990-05-15,0.369,0.375,0.366,0.373,149385600.0
1990-05-16,0.373,0.373,0.366,0.371,87304000.0
1990-05-17,0.373,0.377,0.366,0.371,153585600.0
1990-05-18,0.368,0.371,0.353,0.355,258462400.0
1990-05-21,0.35,0.357,0.346,0.353,262483200.0
1990-05-22,0.358,0.371,0.357,0.369,301089600.0
1990-05-23,0.368,0.379,0.368,0.375,207502400.0
1990-05-24,0.376,0.377,0.371,0.375,148131200.0
1990-05-25,0.353,0.364,0.348,0.357,323321600.0
1990-05-29,0.355,0.368,0.35,0.366,243208000.0
1990-05-30,0.373,0.373,0.368,0.369,276819200.0
1990-05-31,0.367,0.371,0.366,0.368,103084800.0
1990-06-01,0.369,0.375,0.364,0.364,157315200.0
1990-06-04,0.364,0.366,0.355,0.364,179424000.0
1990-06-05,0.366,0.366,0.348,0.353,299432000.0
1990-06-06,0.348,0.353,0.346,0.353,211747200.0
1990-06-07,0.353,0.355,0.344,0.348,186435200.0
1990-06-08,0.344,0.344,0.335,0.342,333883200.0
1990-06-11,0.337,0.348,0.337,0.348,157897600.0
