DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
2014-03-27,566.445,566.445,551.406,556.931,13088.0
2014-03-28,559.663,564.879,557.14,558.456,41116.0
2014-03-31,565.338,565.447,555.405,555.445,10802.0
2014-04-01,557.18,566.893,557.18,565.607,7954.0
2014-04-02,598.347,603.174,560.65,565.447,147100.0
2014-04-03,568.289,585.672,562.585,568.18,5101500.0
2014-04-04,573.076,576.188,541.513,541.653,6395171.0
2014-04-07,539.259,546.978,525.706,536.676,4401623.0
2014-04-08,541.114,553.48,540.127,553.38,3161063.0
2014-04-09,558.087,563.822,551.436,562.595,3333872.0
2014-04-10,563.453,563.453,538.421,539.469,4038803.0
2014-04-11,531.092,538.521,525.088,529.147,3926925.0
2014-04-14,536.776,542.61,528.111,531.062,2575072.0
2014-04-15,535.35,536.975,517.04,534.971,3858018.0
2014-04-16,541.513,555.475,538.521,555.016,4893289.0
2014-04-17,547.307,547.995,529.695,534.632,6814053.0
2014-04-21,534.632,535.23,524.161,527.172,2568247.0
2014-04-22,527.192,535.759,526.065,533.345,2365900.0
2014-04-23,532.328,532.408,524.809,525.497,2056698.0
2014-04-24,528.618,530.194,520.69,523.722,1887133.0
2014-04-25,521.079,523.263,514.009,514.766,2103023.0
2014-04-28,515.764,517.18,501.423,515.734,3335563.0
2014-04-29,515.484,528.01,514.906,526.255,2699883.0
2014-04-30,526.155,526.554,521.089,525.218,1751701.0
2014-05-01,525.667,531.471,522.445,529.895,1905651.0
2014-05-02,532.298,532.538,524.171,526.484,1689669.0
2014-05-05,523.383,527.452,519.892,526.365,1024213.0
2014-05-06,523.792,525.367,513.65,513.729,1689006.0
2014-05-07,514.378,515.265,501.922,508.563,3224908.0
2014-05-08,507.068,515.814,505.063,509.601,2021667.0
2014-05-09,509.351,518.476,502.819,517.309,2439463.0
2014-05-12,522.076,528.738,517.589,528.469,1913632.0
2014-05-13,529.436,534.602,528.06,531.63,1653435.0
2014-05-14,531.54,531.54,523.852,525.208,1195136.0
2014-05-15,524.26,524.43,516.003,518.556,1708437.0
2014-05-16,519.962,520.371,514.028,519.204,1485757.0
2014-05-19,518.277,528.329,516.166,527.412,1279867.0
2014-05-20,528.289,534.762,524.859,528.319,1785001.0
2014-05-21,531.441,537.706,530.453,537.464,1196666.0
2014-05-22,539.648,546.1,539.299,543.567,1616263.0
2014-05-23,545.761,552.124,542.211,551.186,1934931.0
2014-05-27,554.477,564.45,552.832,564.4,2106065.0
2014-05-28,563.024,566.285,559.464,560.142,1652242.0
2014-05-29,561.807,562.455,557.18,558.546,1354366.0
2014-05-30,559.264,559.813,554.388,558.357,1771646.0
2014-06-02,559.165,559.364,544.236,552.413,1438929.0
2014-06-03,549.481,550.827,541.064,543.448,1867034.0
2014-06-04,540.017,547.108,537.275,543.168,1817060.0
2014-06-05,544.904,553.43,542.959,552.383,1689513.0
2014-06-06,556.532,556.532,547.427,554.807,1737350.0
2014-06-09,555.624,561.359,554.517,560.581,1467695.0
2014-06-10,558.975,562.057,556.372,559.015,1353150.0
2014-06-11,556.472,558.347,553.5,557.31,1100393.0
2014-06-12,555.774,556.462,546.958,549.84,1461105.0
2014-06-13,550.748,550.788,544.066,550.249,1220518.0
2014-06-16,547.756,548.115,540.037,542.79,1708706.0
2014-06-17,542.71,543.827,537.853,541.523,1449848.0
2014-06-18,543.368,552.044,542.51,551.855,1742114.0
2014-06-19,552.722,553.48,547.008,553.38,2458072.0
2014-06-20,555.325,556.053,548.884,554.836,4509311.0
2014-06-23,553.63,563.453,552.732,563.403,1538873.0
2014-06-24,563.642,571.078,559.474,563.074,2207835.0
2014-06-25,563.712,578.372,563.672,577.065,1969841.0
2014-06-26,579.409,580.855,570.284,574.423,1741980.0
2014-06-27,575.599,578.282,572.229,575.659,2237301.0
2014-06-30,577.075,577.983,573.176,573.705,1314509.0
2014-07-01,576.736,582.8,575.071,581.074,1450281.0
2014-07-02,581.753,583.837,578.801,580.74,1057833.0
2014-07-03,581.753,583.408,579.329,583.129,714166.0
2014-07-07,582.161,584.824,578.003,580.656,1064749.0
2014-07-08,576.078,577.941,564.585,569.526,1913888.0
2014-07-09,570.015,575.141,567.817,574.502,1116966.0
2014-07-10,564.36,575.011,563.463,569.536,1357033.0
2014-07-11,570.344,579.259,569.855,577.594,1622011.0
2014-07-14,581.005,583.607,576.447,583.268,1857376.0
2014-07-15,584.136,584.2,574.981,583.179,1623260.0
2014-07-16,586.39,586.789,580.606,581.064,1398389.0
2014-07-17,577.943,579.399,567.053,572.159,3023755.0
2014-07-18,591.376,595.166,580.406,593.45,4017391.0
2014-07-21,590.13,592.772,583.63,587.856,2065992.0
2014-07-22,589.102,598.008,588.983,593.111,1699441.0
2014-07-23,591.605,596.213,590.877,594.348,1233223.0
2014-07-24,594.817,597.858,590.149,591.725,1036179.0
2014-07-25,588.783,590.239,585.422,587.407,935285.0
2014-07-28,586.46,590.877,583.152,588.983,986864.0
2014-07-29,587.138,588.085,581.917,584.006,1350345.0
2014-07-30,584.944,587.886,582.401,585.811,1016716.0
2014-07-31,579.01,582.052,568.439,570.035,2105281.0
2014-08-01,568.838,574.383,561.309,564.52,1955526.0
2014-08-04,567.482,573.774,562.555,571.58,1431088.0
2014-08-05,568.489,570.414,561.069,563.523,1560960.0
2014-08-06,560.242,569.137,558.466,564.823,1334532.0
2014-08-07,566.445,568.329,559.563,561.817,1111945.0
2014-08-08,562.017,568.688,558.815,567.212,1496589.0
2014-08-11,568.429,568.928,564.45,566.325,1219307.0
2014-08-12,562.974,564.35,559.344,561.189,1541981.0
2014-08-13,565.756,573.425,564.201,573.206,1441871.0
2014-08-14,574.602,576.317,569.317,573.076,985625.0
2014-08-15,576.278,577.793,568.958,571.91,1521222.0
2014-08-18,574.532,582.909,574.423,580.566,1286053.0
2014-08-19,583.398,585.732,582.401,585.253,981987.0
2014-08-20,584.276,585.093,580.975,582.889,1037621.0
2014-08-21,582.221,582.899,579.549,581.772,915361.0
2014-08-22,581.992,583.633,579.05,580.965,791652.0
2014-08-25,583.119,583.398,577.414,578.611,1362541.0
2014-08-26,579.668,580.207,575.001,576.278,1639956.0
2014-08-27,575.689,576.906,568.542,569.436,1704830.0
2014-08-28,568.0,571.68,565.547,567.641,1299522.0
2014-08-29,569.765,570.473,565.516,570.035,1084200.0
2014-09-02,570.284,576.248,569.626,575.749,1581160.0
