DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
1990-01-02,9.9583,10.0417,9.9583,10.0,1194000.0
1990-01-03,10.125,10.3333,9.875,10.3333,923100.0
1990-01-04,10.3333,10.4167,10.2917,10.375,1716900.0
1990-01-05,10.4167,10.4167,10.25,10.4167,1759800.0
1990-01-08,10.2917,10.4583,10.2917,10.4167,1548000.0
1990-01-09,10.3333,10.375,10.0417,10.0833,1305300.0
1990-01-10,10.0417,10.0833,10.0,10.0417,1888200.0
1990-01-11,10.0833,10.125,9.9167,9.9167,2661300.0
1990-01-12,9.8333,10.0833,9.6667,9.875,3050700.0
1990-01-15,9.8333,9.8333,9.75,9.8333,3915600.0
1990-01-16,9.75,9.8333,9.7083,9.75,3201900.0
1990-01-17,9.7917,9.875,9.625,9.75,2324400.0
1990-01-18,9.75,9.8333,9.625,9.6667,1473900.0
1990-01-19,9.625,9.9583,9.5,9.625,1147800.0
1990-01-22,9.5833,9.625,9.2917,9.3333,1105800.0
1990-01-23,9.375,9.4167,9.0,9.0833,2602500.0
1990-01-24,8.8333,9.2083,8.6667,9.125,2842800.0
1990-01-25,9.0417,9.125,8.8333,9.0417,1502700.0
1990-01-26,8.9167,8.9583,8.4583,8.8333,1657800.0
1990-01-29,8.9583,8.9583,8.5417,8.625,1048800.0
1990-01-30,8.4167,8.5,8.3333,8.4167,1155300.0
1990-01-31,8.4167,8.625,8.3333,8.5833,1224000.0
1990-02-01,8.5833,8.75,8.5833,8.6667,783900.0
1990-02-02,8.625,8.8333,8.5833,8.7083,696600.0
1990-02-05,8.6667,8.8333,8.625,8.6667,763500.0
1990-02-06,8.6667,8.7083,8.5417,8.625,621600.0
1990-02-07,8.5417,8.75,8.5,8.7083,2373300.0
1990-02-08,8.75,8.8333,8.625,8.6667,1233600.0
1990-02-09,8.75,8.75,8.5833,8.625,1474800.0
1990-02-12,8.6667,8.75,8.625,8.6667,1675800.0
1990-02-13,8.6667,8.7083,8.5833,8.5833,1213500.0
1990-02-14,8.5833,8.7917,8.5,8.7917,714900.0
1990-02-15,8.7083,9.0833,8.625,9.0417,1996800.0
1990-02-16,9.0417,9.2083,8.9167,9.0417,1094100.0
1990-02-20,8.7917,8.8333,8.75,8.7917,1710600.0
1990-02-21,8.5833,8.75,8.5,8.75,1808100.0
1990-02-22,8.75,8.7917,8.5417,8.625,748800.0
1990-02-23,8.5417,8.625,8.5,8.5,824700.0
