DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
1990-01-02,7.3438,7.4844,7.3125,7.4844,5376000.0
1990-01-03,7.4844,7.5313,7.4063,7.5156,7007200.0
1990-01-04,7.5156,7.5469,7.4375,7.5313,4132000.0
1990-01-05,7.5,7.5938,7.4531,7.4531,4864000.0
1990-01-08,7.4688,7.5781,7.4375,7.5781,7173600.0
1990-01-09,7.5781,7.5781,7.3438,7.3438,7430400.0
1990-01-10,7.3594,7.4375,7.1875,7.2344,8620800.0
1990-01-11,7.3125,7.3594,7.2813,7.3281,3377600.0
1990-01-12,7.25,7.2969,7.0781,7.125,8144800.0
1990-01-15,7.0625,7.1406,7.0469,7.0781,4255200.0
1990-01-16,7.0469,7.0781,6.9688,7.0781,8056800.0
1990-01-17,7.0625,7.1094,7.0156,7.0156,7482400.0
1990-01-18,6.9688,7.0938,6.9531,7.0781,4601600.0
1990-01-19,7.0781,7.1875,7.0625,7.1719,5992000.0
1990-01-22,7.1406,7.1563,6.9219,6.9219,4003200.0
1990-01-23,7.0313,7.0469,6.875,6.9063,6219200.0
1990-01-24,6.75,6.8438,6.5781,6.7813,11744000.0
1990-01-25,6.7344,6.8281,6.5938,6.625,5124000.0
1990-01-26,6.625,6.7344,6.4375,6.6094,6485600.0
1990-01-29,6.6875,6.7031,6.5625,6.6094,4469600.0
1990-01-30,6.6563,6.6719,6.3906,6.5,6475200.0
1990-01-31,6.5313,6.6094,6.4844,6.5469,5142400.0
1990-02-01,6.7813,6.7813,6.6406,6.6719,5934400.0
1990-02-02,6.6875,6.875,6.6719,6.8281,4728000.0
1990-02-05,6.7969,6.8281,6.75,6.7813,3910400.0
1990-02-06,6.8125,6.8125,6.6563,6.75,3760800.0
1990-02-07,6.7344,6.9063,6.6719,6.8438,5452000.0
1990-02-08,6.9219,7.0313,6.8906,6.9688,8659200.0
1990-02-09,7.0,7.0781,6.9844,7.0156,3249600.0
1990-02-12,7.0313,7.0313,6.9375,6.9688,2563200.0
1990-02-13,6.9531,6.9531,6.8281,6.875,3593600.0
1990-02-14,6.9063,6.9531,6.875,6.9375,3696800.0
1990-02-15,6.9063,7.0469,6.9063,7.0469,3306400.0
1990-02-16,7.0469,7.0469,6.9063,6.9375,5685600.0
1990-02-20,6.9063,6.9063,6.6875,6.8125,4844000.0
1990-02-21,6.6875,6.75,6.6875,6.7188,5664000.0
1990-02-22,6.75,6.7813,6.6406,6.6406,3593600.0
1990-02-23,6.6406,6.6563,6.5,6.5156,8368800.0
1990-02-26,6.5625,6.6875,6.5,6.6719,4156800.0
1990-02-27,6.6875,6.75,6.6563,6.6719,4815200.0
1990-02-28,6.6406,6.7656,6.6406,6.7031,6101600.0
1990-03-01,6.7344,6.8438,6.7188,6.75,3040800.0
1990-03-02,6.8125,6.875,6.7813,6.875,4353600.0
1990-03-05,6.875,6.9375,6.7656,6.7656,4536000.0
1990-03-06,6.7969,6.9219,6.7969,6.9063,4117600.0
1990-03-07,6.9688,6.9688,6.875,6.9063,3157600.0
1990-03-08,6.9688,7.0,6.9219,6.9844,3329600.0
1990-03-09,6.9531,6.9688,6.9063,6.9531,3087200.0
1990-03-12,6.9063,6.9375,6.8281,6.9219,2899200.0
1990-03-13,6.9063,6.9219,6.7813,6.7969,3235200.0
1990-03-14,6.8281,6.9063,6.8125,6.8906,4241600.0
