DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
1990-01-02,0.6059,0.6163,0.5981,0.6163,53035200.0
1990-01-03,0.6215,0.6267,0.6146,0.6198,113774400.0
1990-01-04,0.6198,0.6389,0.6163,0.638,125740800.0
1990-01-05,0.6354,0.6389,0.6215,0.6224,69566400.0
1990-01-08,0.6215,0.6319,0.6146,0.6319,58982400.0
1990-01-09,0.6319,0.6389,0.6267,0.6302,70300800.0
1990-01-10,0.625,0.6337,0.612,0.6128,103766400.0
1990-01-11,0.6163,0.6215,0.5903,0.6007,95774400.0
1990-01-12,0.5911,0.6059,0.5851,0.5981,148910400.0
1990-01-15,0.5955,0.6042,0.592,0.5981,62467200.0
1990-01-16,0.5938,0.6198,0.5868,0.6163,80092800.0
1990-01-17,0.6111,0.6285,0.6042,0.6076,97588800.0
1990-01-18,0.6224,0.6597,0.6215,0.6597,292363200.0
1990-01-19,0.6615,0.6667,0.6493,0.6536,99259200.0
1990-01-22,0.6528,0.6528,0.6285,0.6302,167688000.0
1990-01-23,0.6319,0.6337,0.6198,0.6233,139348800.0
1990-01-24,0.6111,0.6302,0.605,0.6302,180345600.0
1990-01-25,0.6354,0.6424,0.6285,0.6302,112752000.0
1990-01-26,0.6285,0.6337,0.625,0.6302,68083200.0
1990-01-29,0.6354,0.6406,0.6267,0.6354,55080000.0
1990-01-30,0.6372,0.6424,0.625,0.6337,73108800.0
1990-01-31,0.6389,0.6424,0.6337,0.6424,112939200.0
1990-02-01,0.6424,0.6545,0.6424,0.651,89193600.0
1990-02-02,0.6458,0.6632,0.6458,0.651,71395200.0
1990-02-05,0.6502,0.6545,0.6476,0.6545,59731200.0
1990-02-06,0.6528,0.6545,0.6406,0.6528,81964800.0
1990-02-07,0.6493,0.658,0.6458,0.6476,134150400.0
1990-02-08,0.6502,0.6597,0.6476,0.6545,95227200.0
1990-02-09,0.6545,0.658,0.6528,0.6563,62380800.0
1990-02-12,0.6563,0.6632,0.6545,0.658,56088000.0
1990-02-13,0.6597,0.6615,0.6563,0.658,58752000.0
1990-02-14,0.6615,0.6615,0.6563,0.6597,35870400.0
1990-02-15,0.6597,0.6806,0.6597,0.6736,89496000.0
1990-02-16,0.6823,0.6858,0.6788,0.6823,70876800.0
1990-02-20,0.6788,0.6979,0.6736,0.6962,132652800.0
1990-02-21,0.6858,0.6944,0.6649,0.6675,103348800.0
1990-02-22,0.6719,0.6823,0.6684,0.6693,60811200.0
1990-02-23,0.6649,0.6788,0.6632,0.6771,56851200.0
1990-02-26,0.6771,0.6944,0.6753,0.6892,69220800.0
1990-02-27,0.691,0.691,0.6806,0.6806,62020800.0
1990-02-28,0.6806,0.6927,0.6806,0.6858,39312000.0
1990-03-01,0.684,0.7118,0.684,0.6944,76867200.0
1990-03-02,0.6962,0.7248,0.6944,0.7205,100209600.0
1990-03-05,0.7188,0.7344,0.7101,0.7309,75528000.0
1990-03-06,0.7274,0.7292,0.7118,0.7257,68630400.0
1990-03-07,0.7274,0.7326,0.7135,0.7135,47606400.0
1990-03-08,0.7153,0.7448,0.7066,0.7378,88977600.0
1990-03-09,0.7361,0.75,0.7309,0.7396,75744000.0
1990-03-12,0.7378,0.7552,0.7361,0.7517,68875200.0
1990-03-13,0.7517,0.7569,0.7378,0.7378,85204800.0
1990-03-14,0.7448,0.7552,0.7361,0.7448,121852800.0
1990-03-15,0.7448,0.776,0.7361,0.7708,81676800.0
1990-03-16,0.7778,0.8003,0.776,0.7917,118886400.0
1990-03-19,0.7847,0.8125,0.7847,0.809,81172800.0
1990-03-20,0.809,0.8108,0.7813,0.7847,92145600.0
1990-03-21,0.7839,0.8021,0.7795,0.7865,69840000.0
1990-03-22,0.7882,0.7899,0.7656,0.7726,92419200.0
1990-03-23,0.7778,0.7865,0.7569,0.7656,53596800.0
1990-03-26,0.7674,0.7813,0.7665,0.7743,55929600.0
1990-03-27,0.7717,0.7847,0.7691,0.7813,52516800.0
1990-03-28,0.7795,0.7795,0.7569,0.7708,99532800.0
1990-03-29,0.7665,0.783,0.7639,0.7674,64785600.0
1990-03-30,0.7639,0.7708,0.7587,0.7691,36691200.0
1990-04-02,0.7622,0.7804,0.7587,0.7743,74059200.0
1990-04-03,0.783,0.8073,0.7795,0.8056,84643200.0
1990-04-04,0.8056,0.8247,0.8021,0.8125,79646400.0
1990-04-05,0.8116,0.8134,0.7951,0.7951,66369600.0
1990-04-06,0.7969,0.8003,0.7865,0.7934,72878400.0
1990-04-09,0.7899,0.8003,0.7899,0.7951,31176000.0
1990-04-10,0.796,0.8194,0.7951,0.8194,45187200.0
1990-04-11,0.8229,0.8403,0.8168,0.8403,70372800.0
1990-04-12,0.8455,0.8472,0.8333,0.8385,48254400.0
1990-04-16,0.8472,0.8576,0.8351,0.8438,39470400.0
