DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
1990-01-02,223.84,227.73,220.44,227.73,
1990-01-03,227.73,228.94,226.1,226.1,
1990-01-04,226.1,226.18,222.71,224.72,
1990-01-05,224.72,224.8,222.89,223.14,
1990-01-08,223.14,223.58,221.64,223.54,
1990-01-09,223.54,224.33,221.08,221.18,
1990-01-10,221.18,221.18,216.47,216.56,
1990-01-11,216.56,218.22,213.51,213.51,
1990-01-12,213.51,213.51,208.41,208.8,
1990-01-15,208.8,209.34,207.29,207.62,
1990-01-16,207.62,212.0,204.76,211.92,
1990-01-17,211.92,213.9,210.45,210.61,
1990-01-18,210.61,210.63,208.31,210.57,
1990-01-19,210.57,214.89,210.57,213.91,
1990-01-22,213.91,213.91,207.89,208.06,
1990-01-23,208.06,209.99,206.08,207.48,
1990-01-24,207.48,207.48,201.31,206.75,
1990-01-25,206.75,209.83,205.47,205.78,
1990-01-26,205.78,206.75,201.24,203.25,
1990-01-29,203.43,204.81,200.12,202.06,
1990-01-30,202.06,202.06,196.69,197.66,
1990-01-31,197.66,201.97,197.66,201.94,
1990-02-01,200.77,203.05,200.53,203.05,
1990-02-02,203.05,206.76,202.69,205.62,
1990-02-05,205.56,206.84,205.07,206.49,
1990-02-06,206.49,206.72,203.78,205.08,
1990-02-07,205.08,207.2,202.91,206.81,
1990-02-08,206.81,209.58,206.81,207.25,
1990-02-09,207.25,208.75,206.92,208.5,
1990-02-12,208.5,208.52,205.94,206.88,
1990-02-13,206.88,208.0,205.35,207.2,
1990-02-14,207.2,208.54,206.99,208.06,
1990-02-15,208.06,210.11,206.87,209.93,
1990-02-16,209.93,210.44,208.31,208.36,
1990-02-20,208.24,208.36,203.35,205.06,
1990-02-21,205.06,205.44,201.82,204.75,
1990-02-22,204.75,206.86,203.98,204.19,
1990-02-23,204.19,204.19,200.41,201.8,
1990-02-26,201.89,204.68,201.4,204.63,
1990-02-27,204.85,206.71,204.65,205.79,
1990-02-28,205.86,208.59,205.6,207.92,
1990-03-01,207.92,210.02,206.53,209.11,
1990-03-02,209.11,211.55,208.91,211.54,
1990-03-05,211.47,212.08,209.35,210.39,
1990-03-06,210.39,212.51,207.67,210.96,
1990-03-07,210.96,211.87,209.81,210.16,
1990-03-08,210.16,213.57,209.61,213.11,
1990-03-09,213.18,214.13,212.48,213.82,
1990-03-12,213.83,213.83,211.92,213.53,
1990-03-13,213.26,214.03,211.49,211.51,
1990-03-14,211.55,212.85,210.71,212.31,
1990-03-15,212.1,214.13,212.1,213.48,
1990-03-16,214.08,218.8,214.08,217.96,
1990-03-19,217.38,220.14,215.96,219.87,
1990-03-20,219.75,220.11,216.25,216.93,
1990-03-21,216.84,217.83,215.7,215.85,
1990-03-22,215.79,216.26,211.23,212.54,
1990-03-23,212.54,215.39,212.54,214.49,
1990-03-26,214.69,217.28,214.49,216.44,
1990-03-27,216.44,217.95,214.97,217.47,
1990-03-28,217.47,217.47,213.22,214.23,
1990-03-29,214.23,214.61,212.37,213.11,
1990-03-30,213.11,214.27,211.71,213.15,
1990-04-02,212.71,213.15,209.9,212.67,
1990-04-03,212.67,216.81,212.67,216.81,
1990-04-04,216.81,217.73,214.58,215.48,
1990-04-05,215.48,216.06,213.87,214.06,
1990-04-06,214.14,214.69,212.02,212.48,
1990-04-09,211.84,213.15,211.28,212.12,
1990-04-10,212.15,214.05,211.94,213.23,
1990-04-11,213.23,215.6,213.23,214.53,
1990-04-12,214.53,217.19,214.53,216.05,
1990-04-16,216.25,218.25,216.05,216.93,
1990-04-17,216.64,216.88,214.4,216.5,
1990-04-18,216.6,217.1,212.81,213.15,
1990-04-19,212.63,213.15,210.71,210.87,
1990-04-20,210.87,212.06,207.94,208.62,
1990-04-23,208.56,208.58,203.77,205.63,
1990-04-24,206.41,207.85,204.23,204.76,
1990-04-25,204.84,205.94,204.46,205.58,
1990-04-26,205.88,207.1,204.75,205.79,
1990-04-27,206.06,206.52,203.02,203.67,
1990-04-30,203.6,206.05,202.97,205.81,
1990-05-01,205.81,207.59,205.81,207.04,
1990-05-02,207.41,208.69,207.04,208.5,
1990-05-03,208.58,211.27,208.58,210.09,
1990-05-04,210.16,212.73,209.9,212.71,
1990-05-07,212.83,216.06,212.71,215.03,
1990-05-08,214.95,215.63,214.19,215.17,
1990-05-09,215.17,215.66,214.12,215.43,
1990-05-10,215.38,217.08,214.87,216.81,
1990-05-11,216.81,221.1,216.62,220.89,
1990-05-14,221.16,225.68,220.92,223.86,
1990-05-15,223.74,224.79,222.29,224.49,
1990-05-16,224.51,225.22,222.51,225.13,
1990-05-17,225.16,227.31,225.13,226.64,
1990-05-18,226.66,228.98,225.85,228.51,
1990-05-21,228.64,232.42,228.51,232.22,
1990-05-22,232.41,234.73,230.94,232.85,
1990-05-23,232.92,236.12,232.11,236.06,
1990-05-24,236.38,237.83,235.81,237.04,
1990-05-25,236.01,236.99,232.01,232.2,
1990-05-29,232.05,235.99,232.02,235.84,
1990-05-30,236.51,237.93,235.24,236.36,
1990-05-31,235.98,237.47,234.78,236.15,
1990-06-01,236.4,238.67,236.15,237.89,
1990-06-04,237.96,240.26,235.94,240.11,
1990-06-05,240.33,240.97,236.99,237.85,
1990-06-06,237.83,238.79,236.68,238.06,
1990-06-07,238.06,239.59,235.94,237.39,
1990-06-08,237.39,237.39,233.16,234.73,
1990-06-11,234.24,236.97,232.76,236.95,
1990-06-12,237.26,240.21,236.83,240.11,
1990-06-13,240.13,242.85,240.08,242.06,
1990-06-14,242.12,242.12,239.27,240.52,
1990-06-15,240.51,241.37,239.51,240.79,
1990-06-18,240.61,240.79,236.29,236.71,
1990-06-19,236.57,237.27,234.94,236.78,
1990-06-20,236.79,238.39,235.72,237.31,
1990-06-21,237.27,238.26,236.09,238.15,
1990-06-22,238.28,239.57,235.69,235.74,
1990-06-25,235.69,236.54,232.67,232.92,
1990-06-26,232.99,235.61,232.59,232.94,
1990-06-27,232.93,235.48,231.76,234.95,
1990-06-28,235.26,237.73,235.26,237.42,
1990-06-29,237.5,238.93,237.49,238.46,
1990-07-02,238.43,238.91,237.58,238.42,
1990-07-03,238.19,238.42,236.83,238.19,
1990-07-05,238.19,238.19,236.21,237.3,
1990-07-06,236.96,238.73,235.84,238.47,
1990-07-09,238.61,240.19,238.25,239.6,
1990-07-10,239.69,240.44,238.04,238.66,
1990-07-11,237.51,240.83,237.19,240.78,
1990-07-12,240.81,243.59,239.93,243.43,
1990-07-13,243.53,246.47,243.13,244.74,
1990-07-16,244.76,246.81,244.25,246.18,
1990-07-17,246.2,246.39,240.94,241.53,
1990-07-18,241.53,241.53,237.33,238.22,
1990-07-19,238.22,238.22,233.14,236.4,
1990-07-20,236.4,237.82,232.14,232.44,
1990-07-23,232.18,232.44,224.37,227.38,
1990-07-24,227.44,229.27,222.04,226.49,
1990-07-25,226.53,229.64,226.49,228.77,
1990-07-26,228.68,229.08,226.11,227.2,
1990-07-27,227.18,227.2,224.98,225.64,
1990-07-30,225.26,225.64,221.36,223.92,
1990-07-31,223.99,224.86,221.93,223.39,
1990-08-01,223.43,224.63,221.66,223.12,
1990-08-02,223.1,223.1,217.18,218.97,
1990-08-03,218.97,218.97,204.62,212.61,
1990-08-06,211.28,212.61,200.87,201.46,
1990-08-07,201.94,206.55,201.46,202.66,
1990-08-08,202.8,206.03,202.66,205.58,
1990-08-09,205.58,209.88,205.58,209.13,
1990-08-10,209.13,209.46,204.56,206.23,
1990-08-13,206.03,207.88,203.21,207.42,
1990-08-14,207.56,209.34,206.83,208.3,
1990-08-15,208.35,210.87,207.98,208.47,
1990-08-16,208.44,208.47,202.18,202.19,
1990-08-17,201.55,202.19,194.03,196.85,
1990-08-20,196.93,197.93,192.7,193.1,
1990-08-21,191.74,193.1,184.11,188.26,
1990-08-22,189.37,191.34,185.0,185.02,
1990-08-23,184.61,185.02,177.06,178.3,
1990-08-24,178.3,185.06,178.3,184.97,
1990-08-27,184.97,194.88,184.97,193.98,
1990-08-28,194.09,195.99,193.04,194.91,
1990-08-29,194.91,194.91,192.23,192.91,
1990-08-30,192.91,194.19,190.57,190.73,
1990-08-31,190.73,193.7,189.3,193.62,
1990-09-04,193.62,194.87,191.32,194.75,
1990-09-05,194.75,195.88,193.26,193.81,
1990-09-06,193.81,193.81,189.56,190.67,
1990-09-07,190.67,192.51,188.26,191.8,
