DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
1980-07-28,2.3789,2.4023,2.3789,2.4023,1363200.0
1980-07-29,2.3945,2.4492,2.3945,2.4492,1504000.0
1980-07-30,2.4648,2.5117000000000003,2.4648,2.5,2073600.0
1980-07-31,,2.5156,2.4805,2.5156,1292800.0
1980-08-01,2.5,2.5078,2.4805,2.4805,2147200.0
1980-08-04,2.4609,2.4961,2.457,2.4922,1062400.0
1980-08-05,2.4844,2.5078,2.4805,2.4961,1657600.0
1980-08-06,2.4922,2.5117000000000003,2.4922,2.4961,1225600.0
1980-08-07,2.5156,2.5391,2.5,2.5391,1500800.0
1980-08-08,2.5469,2.5859,2.5313,2.5586,1737600.0
1980-08-11,2.5507999999999997,2.5859,2.5469,2.5742000000000003,800000.0
1980-08-12,2.5507999999999997,2.5625,2.5078,2.5313,854400.0
1980-08-13,2.5195,2.5352,2.5156,2.5273,1846400.0
1980-08-14,2.5234,2.5469,2.5195,2.5313,1452800.0
1980-08-15,2.5391,2.5469,2.5234,2.5313,1894400.0
1980-08-18,2.5234,2.5273,2.4922,2.4922,1740800.0
1980-08-19,2.4961,2.5078,2.4922,2.4922,1875200.0
1980-08-20,2.4922,2.4922,2.4727,2.4727,3788800.0
1980-08-21,2.4648,2.4844,2.4609,2.4805,2608000.0
1980-08-22,2.4766,2.4805,2.4688,2.4766,1315200.0
1980-08-25,2.4844,2.4844,2.457,2.4727,1500800.0
1980-08-26,2.4727,2.4844,2.4688,2.4766,851200.0
1980-08-27,2.4688,2.4727,2.457,2.457,1321600.0
1980-08-28,2.4375,2.4492,2.4297,2.4375,745600.0
1980-08-29,2.4219,2.4531,2.4219,2.4531,716800.0
1980-09-02,2.4453,2.4453,2.4258,2.4375,739200.0
1980-09-03,2.4375,2.4492,2.4336,2.4492,1670400.0
1980-09-04,2.4492,2.457,2.4375,2.4492,2518400.0
1980-09-05,2.4531,2.4531,2.4258,2.4258,556800.0
1980-09-08,2.4297,2.4297,2.418,2.418,649600.0
1980-09-09,2.4141,2.4336,2.4102,2.4336,3625600.0
1980-09-10,2.4258,2.4336,2.4102,2.4219,1958400.0
1980-09-11,2.4297,2.4297,2.3906,2.4023,1148800.0
1980-09-12,2.3945,2.4141,2.3906,2.4063,1718400.0
1980-09-15,2.4141,2.4141,2.3867,2.4023,604800.0
1980-09-16,2.4063,2.4688,2.4063,2.4609,2694400.0
1980-09-17,2.4531,2.4844,2.4531,2.4805,4553600.0
1980-09-18,2.4844,2.4922,2.4219,2.4453,4857600.0
1980-09-19,2.4375,2.4375,2.375,2.4063,4985600.0
1980-09-22,2.3828,2.4219,2.3828,2.4141,2550400.0
1980-09-23,2.4219,2.4219,2.3906,2.3906,4086400.0
1980-09-24,2.375,2.3828,2.3281,2.3438,8473600.0
1980-09-25,2.3281,2.3398,2.3125,2.3203,3392000.0
1980-09-26,2.2734,2.3203,2.2656,2.2695,4400000.0
1980-09-29,2.25,2.25,2.2344,2.2383,1769600.0
1980-09-30,2.2344,2.2422,2.2148,2.2344,3939200.0
1980-10-01,2.2266,2.2773,2.2266,2.2773,2809600.0
1980-10-02,2.2695,2.2773,2.2383,2.2461,2665600.0
1980-10-03,2.2461,2.3164,2.2422,2.3125,2812800.0
1980-10-06,2.3203,2.3633,2.3086,2.3555,3190400.0
1980-10-07,2.3789,2.3789,2.3281,2.3438,3420800.0
1980-10-08,2.3438,2.3555,2.3281,2.3281,1852800.0
1980-10-09,2.3203,2.3242,2.2383,2.2422,2576000.0
1980-10-10,2.25,2.2617,2.2031,2.2148,1417600.0
1980-10-13,2.1992,2.2305,2.1875,2.2227,1612800.0
1980-10-14,2.2305,2.2422,2.207,2.2148,2208000.0
1980-10-15,2.2266,2.2539,2.2266,2.2461,4233600.0
1980-10-16,2.2461,2.2813,2.2422,2.2422,2809600.0
1980-10-17,2.25,2.2813,2.2383,2.2734,2544000.0
1980-10-20,2.25,2.2656,2.2344,2.2344,1446400.0
1980-10-21,2.2383,2.2656,2.2344,2.2383,1600000.0
1980-10-22,2.2539,2.2578,2.2383,2.25,1689600.0
1980-10-23,2.2578,2.2578,2.2031,2.2031,1424000.0
1980-10-24,2.2031,2.2227,2.2031,2.2227,1104000.0
1980-10-27,2.207,2.2188,2.1875,2.1875,1116800.0
1980-10-28,2.1875,2.2031,2.1797,2.1953,768000.0
1980-10-29,2.1875,2.1875,2.1484,2.1563,2572800.0
1980-10-30,2.1406,2.1406,2.1016,2.1094,1436800.0
1980-10-31,2.1016,2.1211,2.0938,2.1133,2252800.0
1980-11-03,2.1211,2.1367,2.1133,2.1367,2835200.0
1980-11-05,2.2344,2.2656,2.1445,2.1445,3776000.0
1980-11-06,2.1484,2.1484,2.1094,2.1133,4905600.0
1980-11-07,2.1055,2.1133,2.0977,2.1016,1641600.0
1980-11-10,2.1172,2.1211,2.1094,2.1211,1644800.0
1980-11-11,2.1172,2.168,2.1172,2.1484,704000.0
1980-11-12,2.1563,2.207,2.1445,2.1914,1987200.0
1980-11-13,2.1875,2.2188,2.1797,2.2109,2537600.0
1980-11-14,2.2031,2.2969,2.2031,2.2656,2521600.0
1980-11-17,2.2734,2.2813,2.2461,2.2734,1849600.0
1980-11-18,2.2813,2.3047,2.2734,2.2969,1913600.0
1980-11-19,2.2813,2.3008,2.2617,2.2852,2115200.0
1980-11-20,2.2773,2.2969,2.2773,2.2852,4316800.0
1980-11-21,2.293,2.3008,2.2539,2.2578,3155200.0
1980-11-24,2.25,2.25,2.2188,2.2344,5513600.0
1980-11-25,2.2188,2.2344,2.2188,2.2227,1689600.0
1980-11-26,2.2188,2.2344,2.2188,2.2188,2275200.0
1980-11-28,2.2188,2.2266,2.1953,2.1992,844800.0
1980-12-01,2.207,2.207,2.1641,2.1719,2572800.0
1980-12-02,2.168,2.1836,2.1484,2.1641,1670400.0
