Date,USD,EUR,FX,FXBasis,USDOIS,EUROIS,ESTROIS
2018-01-01,2.5395,,1.2012,,,,
2018-01-02,2.602,1.542,1.2059,-19.75,37.375,7.4,15.8192
2018-01-03,2.5838,1.5157,1.2015,-21,37,7.4,16.1315
2018-01-04,2.5848,1.49,1.2068,-21.625,36.5,7.3,15.8425
2018-01-05,2.6109,1.5063,1.2029,-20.125,36.625,7,15.6578
2018-01-08,2.61,1.499,1.1967,-19.875,36.375,7,15.5315
2018-01-09,2.693,1.544,1.1937,-20.375,36.125,7,15.9205
2018-01-10,2.6861,1.552,1.1948,-19.875,36.375,6.9,15.3145
2018-01-11,2.6602,1.559,1.2032,-18.625,36.13,7.1,15.8444
2018-01-12,2.6545,1.55,1.2202,-18.375,36.13,7,16.1567
2018-01-15,2.6575,1.558,1.2264,-18.125,,7,15.6507
2018-01-16,2.649,1.5225,1.226,-18.5,36.375,6.95,15.1493
2018-01-17,2.6921,1.5155,1.2186,-18.125,36.375,7,15.749
2018-01-18,2.7415,1.538,1.2238,-17.25,36.875,7,15.5781
2018-01-19,2.8293,1.556,1.2222,-17.125,36.5,7,15.5337
2018-01-22,2.8026,1.5561,1.2262,-16.875,36.25,7,15.5485
2018-01-23,2.76,1.547,1.2299,-15.875,36.5,7,15.5658
2018-01-24,2.7887,1.5625,1.2408,-15.625,36.75,7.1,15.7178
2018-01-25,2.7295,1.5385,1.2396,-15.25,37,7.1,15.3
2018-01-26,2.7712,1.52,1.2427,-15.5,37.375,7.1,15.8458
2018-01-29,2.8035,1.571,1.2383,-15.875,37.75,7.1,15.6759
2018-01-30,2.8244,1.5815,1.2402,-15.75,37.5625,7.2,15.9164
2018-01-31,2.8127,1.556,1.2414,-15.25,37.5,7.2,15.8014
2018-02-01,2.9023,1.587,1.251,-14.25,38.25,7.2,15.3392
2018-02-02,2.9523,1.6175,1.2463,-13,38.25,7.2,14.4375
2018-02-05,2.83,1.608,1.2367,-11.875,39.1875,7.1,15.7055
2018-02-06,2.9163,1.583,1.2377,-11.75,39.75,7,15.6137
2018-02-07,2.9592,1.6005,1.2264,-10.625,40.75,7.1,15.32
2018-02-08,2.9518,1.6038,1.2247,-9.625,42.5,7.2,15.3455
2018-02-09,2.9733,1.609,1.2252,-10.125,43.5,7.3,15.0682
2018-02-12,2.9771,1.651,1.2292,-10.375,42.25,7.5,16.5786
2018-02-13,2.9336,1.653,1.2352,-11.25,40.625,7.7,15.7685
2018-02-14,2.9997,1.6735,1.2451,-11.5,41,7.7,16.4953
